Event	ID	Name			Wwise Object Path	Notes
	71084047	SoundSeed Air Woosh	SoundSeed Air Woosh		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Static Presets (wave file substitutions)\Weapons\Arrows\Arrows_02\Arrow\SoundSeed Air Woosh	
	71113179	SoundSeed Air Wind	SoundSeed Air Wind		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Game Driven Presets\Wind Ambiences\Eerie Tunnel\SoundSeed Air Wind	
	73647974	SoundSeed Wind	SoundSeed Air Wind		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Static Presets (wave file substitutions)\Non-Windy Ambiences\Surf\Random Wavebreak\Random_Wave02\SoundSeed Wind	
	109314945	SoundSeed Air Wind	SoundSeed Air Wind		\Actor-Mixer Hierarchy\Plugins\Plugins\SoundSeedWind\SoundSeed Air Wind	
	111857556	SoundSeed Air Wind	SoundSeed Air Wind		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Static Presets (wave file substitutions)\Wind Ambiences\Grove\SoundSeed Air Wind	
	137670514	SoundSeed Woosh	SoundSeed Air Woosh		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Static Presets (wave file substitutions)\Weapons\Wooden Staff\SoundSeed Woosh	
	158738632	SoundSeed Air Woosh	SoundSeed Air Woosh		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Static Presets (wave file substitutions)\Weapons\Arrows\Arrows_04\Arrow\SoundSeed Air Woosh	
	162772315	SoundSeed Woosh	SoundSeed Air Woosh		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Static Presets (wave file substitutions)\Non-Windy Ambiences\Urban Scene\Random Car Pass-by_05\Car Pass-by\SoundSeed Woosh	
	169132707	SoundSeed Wind	SoundSeed Air Wind		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Static Presets (wave file substitutions)\Non-Windy Ambiences\Surf\Random Wavebreak\Random_Wave01\SoundSeed Wind	
	174409972	Wwise Silence	Wwise Silence		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Static Presets (wave file substitutions)\Weapons\Arrows\Arrows_04\Silence\Wwise Silence	
	188214797	SoundSeed Woosh	SoundSeed Air Woosh		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Static Presets (wave file substitutions)\Non-Windy Ambiences\Urban Scene\Random Car Pass-by_04\Car Pass-by\SoundSeed Woosh	
	223736328	SoundSeed Woosh	SoundSeed Air Woosh		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Game Driven Presets\Weapons\Generic Weapon Swing\SoundSeed Woosh	
	229589517	Ville	SoundSeed Air Wind		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Static Presets (wave file substitutions)\Non-Windy Ambiences\Urban Scene\Background City Noise\Ville	
	232816868	Wwise Silence	Wwise Silence		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Static Presets (wave file substitutions)\Weapons\Arrows\Arrows_02\Silence\Wwise Silence	
	292002125	SoundSeed Woosh	SoundSeed Air Woosh		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Static Presets (wave file substitutions)\Weapons\Fly-By Dagger\SoundSeed Woosh	
	309043750	Wwise Silence	Wwise Silence		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Static Presets (wave file substitutions)\Non-Windy Ambiences\Urban Scene\Random Car Pass-by_01\Silence\Wwise Silence	
	309737562	SoundSeed Air Wind	SoundSeed Air Wind		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Game Driven Presets\Wind Ambiences\Kansas\SoundSeed Air Wind	
	347125916	SoundSeed Air Woosh	SoundSeed Air Woosh		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Static Presets (wave file substitutions)\Weapons\Arrows\Arrows_06\Arrow\SoundSeed Air Woosh	
	356319053	SoundSeed Woosh	SoundSeed Air Woosh		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Static Presets (wave file substitutions)\Non-Windy Ambiences\Urban Scene\Random Car Pass-by_01\Car Pass-by\SoundSeed Woosh	
	365762760	SoundSeed Woosh	SoundSeed Air Woosh		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Static Presets (wave file substitutions)\Non-Windy Ambiences\Urban Scene\Random Car Pass-by_03\Car Pass-by\SoundSeed Woosh	
	372799448	Wwise Silence	Wwise Silence		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Static Presets (wave file substitutions)\Non-Windy Ambiences\Urban Scene\Random Car Pass-by_02\Silence\Wwise Silence	
	400146702	SoundSeed Air Woosh	SoundSeed Air Woosh		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Game Driven Presets\Vehicles\Locomotive\SoundSeed Air Woosh	Variations on a mechanical theme. Made for looping.
	414142681	Wwise Silence	Wwise Silence		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Static Presets (wave file substitutions)\Weapons\Arrows\Arrows_03\Silence\Wwise Silence	
	480750206	SoundSeed Air Woosh	SoundSeed Air Woosh		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Static Presets (wave file substitutions)\Weapons\Arrows\Arrows_01\Arrow\SoundSeed Air Woosh	
	482980946	Wwise Silence	Wwise Silence		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Static Presets (wave file substitutions)\Weapons\Arrows\Arrows_06\Silence\Wwise Silence	
	504047276	Wwise Silence	Wwise Silence		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Static Presets (wave file substitutions)\Non-Windy Ambiences\Urban Scene\Random Car Pass-by_04\Silence\Wwise Silence	
	511713507	Wwise Silence	Wwise Silence		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Static Presets (wave file substitutions)\Non-Windy Ambiences\Surf\Random Wavebreak\Silence\Wwise Silence	
	517142054	SoundSeed Woosh	SoundSeed Air Woosh		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Game Driven Presets\Vehicles\Car Pass-by\SoundSeed Woosh	
	563948639	SoundSeed Woosh	SoundSeed Air Woosh		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Static Presets (wave file substitutions)\Weapons\Zorro\SoundSeed Woosh	
	588094097	SoundSeed Air Woosh	SoundSeed Air Woosh		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Static Presets (wave file substitutions)\Weapons\Arrows\Arrows_05\Arrow\SoundSeed Air Woosh	
	606150867	SoundSeed Air Wind	SoundSeed Air Wind		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Static Presets (wave file substitutions)\Wind Ambiences\Polar Winds\SoundSeed Air Wind	
	640643725	SoundSeed Air Wind	SoundSeed Air Wind		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Game Driven Presets\Vehicles\Airplane\Jets\SoundSeed Air Wind	
	642198329	SoundSeed Air Woosh	SoundSeed Air Woosh		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Game Driven Presets\Vehicles\Chopper\SoundSeed Air Woosh	Variations on a mechanical theme. Made for looping.
	663109749	SoundSeed Air Wind	SoundSeed Air Wind		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Static Presets (wave file substitutions)\Wind Ambiences\Eerie Tunnel\SoundSeed Air Wind	
	675627263	SoundSeed Air Wind	SoundSeed Air Wind		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Static Presets (wave file substitutions)\Wind Ambiences\Weeping Willows\SoundSeed Air Wind	
	685503655	SoundSeed Woosh	SoundSeed Air Woosh		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Static Presets (wave file substitutions)\Non-Windy Ambiences\Urban Scene\Random Car Pass-by_02\Car Pass-by\SoundSeed Woosh	
	687451945	SoundSeed Woosh	SoundSeed Air Woosh		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Static Presets (wave file substitutions)\Weapons\Ogre's Club Swing\SoundSeed Woosh	
	699772409	SoundSeed Wind	SoundSeed Air Wind		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Static Presets (wave file substitutions)\Non-Windy Ambiences\Surf\Surf\SoundSeed Wind	
	702525742	Wwise Silence	Wwise Silence		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Static Presets (wave file substitutions)\Weapons\Arrows\Arrows_01\Silence\Wwise Silence	
	709782740	Wwise Silence	Wwise Silence		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Static Presets (wave file substitutions)\Weapons\Arrows\Arrows_05\Silence\Wwise Silence	
	745928427	Wwise Silence	Wwise Silence		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Static Presets (wave file substitutions)\Non-Windy Ambiences\Urban Scene\Random Car Pass-by_06\Silence\Wwise Silence	
	761686719	SoundSeed Woosh	SoundSeed Air Woosh		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Game Driven Presets\Weapons\Wooden Staff\SoundSeed Woosh	
	767342224	SoundSeed Wind	SoundSeed Air Wind		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Game Driven Presets\Waterfall\SoundSeed Wind	
	773812617	Wwise Silence	Wwise Silence		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Static Presets (wave file substitutions)\Non-Windy Ambiences\Urban Scene\Random Car Pass-by_05\Silence\Wwise Silence	
	789837903	SoundSeed Grain	SoundSeed Grain		\Actor-Mixer Hierarchy\Plugins\Plugins\SoundSeedGrain\SoundSeed Grain	
	789939026	SoundSeed Wind	SoundSeed Air Wind		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Static Presets (wave file substitutions)\Non-Windy Ambiences\Surf\Random Wavebreak\Random_Wave03\SoundSeed Wind	
	790704623	Wwise Silence	Wwise Silence		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Static Presets (wave file substitutions)\Non-Windy Ambiences\Urban Scene\Random Car Pass-by_03\Silence\Wwise Silence	
	809721861	SoundSeed Woosh	SoundSeed Air Woosh		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Static Presets (wave file substitutions)\Weapons\Generic Weapon Swing\SoundSeed Woosh	
	849098007	SoundSeed Air Wind	SoundSeed Air Wind		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Game Driven Presets\Parachute Jump\SoundSeed Air Wind	
	855318940	SoundSeed Air Wind	SoundSeed Air Wind		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Game Driven Presets\Wind Ambiences\Weeping Willows\SoundSeed Air Wind	
	862342132	Wwise Motion Source	Wwise Motion Source		\Actor-Mixer Hierarchy\Plugins\Plugins\MotionSource\MotionSource\Wwise Motion Source	
	932020803	SoundSeed Air Wind	SoundSeed Air Wind		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Game Driven Presets\Wind Ambiences\Grove\SoundSeed Air Wind	
	949017482	SoundSeed Woosh	SoundSeed Air Woosh		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Static Presets (wave file substitutions)\Non-Windy Ambiences\Urban Scene\Random Car Pass-by_06\Car Pass-by\SoundSeed Woosh	
	964146970	SoundSeed Woosh	SoundSeed Air Woosh		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Game Driven Presets\Weapons\Fly-By Dagger\SoundSeed Woosh	
	993923566	SoundSeed Air Woosh	SoundSeed Air Woosh		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Static Presets (wave file substitutions)\Weapons\Arrows\Arrows_03\Arrow\SoundSeed Air Woosh	
	1018093596	SoundSeed Woosh	SoundSeed Air Woosh		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Game Driven Presets\Weapons\Ogre's Club Swing\SoundSeed Woosh	
	1055663783	SoundSeed Air Woosh	SoundSeed Air Woosh		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Game Driven Presets\Wings\SoundSeed Air Woosh	Each wing beating, made for looping.

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	215518025	SoundSeedImpact	D:\GitProjects\wwise-godot-integration\wwise-gdnative\gdnative-demo-wwise-project\.cache\iOS\SFX\Explosion_3_10C4C929.wem		\Actor-Mixer Hierarchy\Plugins\Plugins\SoundSeedImpact		356890
	258193767	Marker_Test_001	D:\GitProjects\wwise-godot-integration\wwise-gdnative\gdnative-demo-wwise-project\.cache\iOS\SFX\Marker_Test_001_10C4C929.wem		\Actor-Mixer Hierarchy\Plugins\Plugins\ConvolutionTest\Marker_Test_001		938254
	621017625	bombe_explosion_dry	D:\GitProjects\wwise-godot-integration\wwise-gdnative\gdnative-demo-wwise-project\.cache\iOS\SFX\bombe_explosion_dry_10C4C929.wem		\Actor-Mixer Hierarchy\Plugins\Plugins\MotionAux\bombe_explosion_dry		263464
	712063785	SoundSeed Grain	D:\GitProjects\wwise-godot-integration\wwise-gdnative\gdnative-demo-wwise-project\.cache\iOS\Plugins\SoundSeed Grain\chimes_with_marker_AF15F127.wem	SoundSeed Grain (Custom)	\Actor-Mixer Hierarchy\Plugins\Plugins\SoundSeedGrain\SoundSeed Grain		264744

Plug-in Media	ID	Name	Source file	Type	Wwise Object Path	Notes	Data Size
	539027192	Space_Ship_Stereo_(Custom)	D:\GitProjects\wwise-godot-integration\wwise-gdnative\gdnative-demo-wwise-project\.cache\iOS\Plugins\Wwise Convolution Reverb\AK_Factory_IR\Large Spaces\AK Stair Way Hall_D8D7B406.wem	Wwise Convolution Reverb (Custom)	\Actor-Mixer Hierarchy\Plugins\Plugins\ConvolutionTest\Space_Ship_Stereo_(Custom)	Impulse response created by Pinguin ing.büro © 2010 Pinguin ing.büro.  All rights reserved. IR Pre-delay: 7ms  	459232

